N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"80,500",400,-0.49%,100,"4,805,675","5,969,783",53.82,"14,618,173",19.33,9.99,
2,SK하이닉스,"124,500","2,000",-1.58%,"5,000","906,363","728,002",49.58,"2,484,383",17.78,9.53,
3,카카오,"155,000","7,000",+4.73%,100,"688,091","443,930",33.20,"7,643,972",225.62,2.70,
4,NAVER,"398,000","8,500",+2.18%,100,"653,768","164,263",56.87,"1,225,333",4.05,15.22,
5,삼성전자우,"74,000",300,-0.40%,100,"608,936","822,887",76.54,"1,419,796",17.77,N/A,
6,LG화학,"822,000","13,000",-1.56%,"5,000","580,269","70,592",46.06,"252,051",35.78,2.93,
7,삼성바이오로직스,"836,000","3,000",+0.36%,"2,500","553,139","66,165",10.05,"59,015",208.48,N/A,
8,현대차,"235,000","1,500",-0.63%,"5,000","502,120","213,668",29.92,"992,952",28.44,2.04,
9,삼성SDI,"674,000","24,000",+3.69%,"5,000","463,473","68,765",42.62,"454,825",66.02,4.54,
10,셀트리온,"270,000","1,000",+0.37%,"1,000","372,375","137,917",20.73,"469,990",61.94,16.68,
11,기아,"88,500",900,+1.03%,"5,000","358,747","405,363",33.47,"2,163,189",15.90,5.05,
12,POSCO,"340,000","1,000",-0.29%,"5,000","296,435","87,187",53.78,"604,836",13.28,3.61,
13,현대모비스,"287,000",500,-0.17%,"5,000","272,056","94,793",36.55,"262,538",15.32,4.66,
14,LG생활건강,"1,701,000","36,000",+2.16%,"5,000","265,666","15,618",46.12,"49,707",36.67,17.92,
15,LG전자,"157,000","2,500",+1.62%,"5,000","256,927","163,648",30.67,"973,831",14.63,13.23,
16,SK이노베이션,"277,000","4,500",-1.60%,"5,000","256,130","92,466",23.63,"785,459",-26.19,-13.58,
17,삼성물산,"136,000",500,-0.37%,100,"254,166","186,887",14.74,"384,366",16.20,3.81,
18,KB금융,"56,800",100,-0.18%,"5,000","236,179","415,808",68.92,"1,237,910",5.91,8.53,
19,SK텔레콤,"326,500","1,000",-0.31%,500,"235,276","72,060",45.61,"354,170",15.04,6.44,
20,신한지주,"41,100",550,-1.32%,"5,000","212,322","516,600",60.86,"1,817,871",5.77,8.20,
21,SK,"282,000","3,000",-1.05%,200,"198,416","70,360",20.36,"222,917",32.84,1.11,
22,엔씨소프트,"818,000","6,000",-0.73%,500,"179,584","21,954",51.90,"87,342",37.98,20.83,
23,한국전력,"26,900",0,0.00%,"5,000","172,688","641,964",15.78,"3,248,395",8.41,2.91,
24,아모레퍼시픽,"281,500","3,000",-1.05%,500,"164,561","58,458",33.82,"139,576",196.99,0.78,
25,LG,"103,500",500,-0.48%,"5,000","162,807","157,301",33.53,"374,436",9.50,7.50,
26,삼성생명,"80,000","1,200",-1.48%,500,"160,000","200,000",13.32,"449,190",7.53,3.53,
27,HMM,"44,400",250,-0.56%,"5,000","153,354","345,392",12.37,"4,053,405",42.09,8.93,
28,삼성에스디에스,"186,000","1,500",-0.80%,500,"143,923","77,378",11.68,"124,352",22.87,6.71,
29,하나금융지주,"45,300",700,-1.52%,"5,000","136,010","300,242",68.45,"1,236,834",4.83,8.96,
30,삼성전기,"178,500","2,500",+1.42%,"5,000","133,328","74,694",31.08,"399,450",19.64,10.92,
31,KT&G,"85,000",300,+0.35%,"5,000","116,699","137,292",38.63,"393,042",10.13,13.22,
32,SK바이오사이언스,"152,500","7,500",-4.69%,500,"116,662","76,500",3.31,"2,061,362",118.49,13.25,
33,포스코케미칼,"149,500","2,500",+1.70%,500,"115,808","77,463",7.77,"394,498",179.69,2.96,
34,넷마블,"134,500",0,0.00%,100,"115,607","85,954",22.92,"282,757",36.59,6.35,
35,대한항공,"33,150",500,-1.49%,"5,000","115,303","347,821",10.97,"2,585,277",14.17,-7.22,
36,SK아이이테크놀로지,"158,000","2,000",+1.28%,"1,000","112,650","71,298",5.05,"618,265",N/A,11.00,
37,S-Oil,"100,000","4,000",-3.85%,"2,500","112,583","112,583",77.28,"566,291",27.17,-13.07,
38,하이브,"313,000","16,000",+5.39%,500,"111,502","35,624",11.53,"1,247,275",111.35,12.52,
39,두산중공업,"25,250","1,150",+4.77%,"5,000","106,677","422,482",7.01,"9,496,997",-14.19,-37.20,
40,삼성화재,"211,000","1,000",-0.47%,500,"99,961","47,375",47.76,"72,856",10.52,4.96,
41,SK바이오팜,"127,500","1,000",+0.79%,500,"99,849","78,313",7.22,"419,802",-185.05,-135.18,
42,한온시스템,"18,100",150,+0.84%,100,"96,618","533,800",19.15,"1,080,943",71.54,5.09,
43,한국조선해양,"132,500","1,500",-1.12%,"5,000","93,774","70,773",17.85,"565,937",-10.14,-7.42,
44,롯데케미칼,"272,500","4,500",-1.62%,"5,000","93,401","34,275",26.33,"184,637",12.58,1.22,
45,한화솔루션,"46,900","2,250",+5.04%,"5,000","89,710","191,278",16.38,"3,447,379",12.57,5.30,
46,LG디스플레이,"24,350",550,+2.31%,"5,000","87,128","357,816",20.12,"8,695,048",25.79,-0.79,
47,KT,"32,700",150,-0.46%,"5,000","85,384","261,112",44.01,"1,076,446",11.35,4.76,
48,우리금융지주,"11,600",200,-1.69%,"5,000","83,783","722,268",26.23,"3,663,896",5.75,5.87,
49,고려아연,"434,000",500,-0.12%,"5,000","81,896","18,870",21.52,"36,685",12.70,8.37,
50,기업은행,"10,500",200,-1.87%,"5,000","78,152","744,301",12.79,"2,021,885",5.14,6.44,
51,현대글로비스,"202,500","2,000",-0.98%,500,"75,938","37,500",34.71,"218,662",13.20,12.45,
52,현대제철,"51,900",800,-1.52%,"5,000","69,258","133,446",20.04,"1,348,866",-66.11,-2.59,
53,CJ제일제당,"450,000","3,000",-0.66%,"5,000","67,744","15,054",25.59,"59,306",18.10,13.50,
54,금호석유,"220,000","1,500",+0.69%,"5,000","67,029","30,468",23.19,"198,135",7.92,20.18,
55,LG유플러스,"15,350",0,0.00%,"5,000","67,020","436,611",32.87,"1,422,719",12.93,6.46,
56,한국타이어앤테크놀로지,"54,000",200,-0.37%,500,"66,893","123,875",42.21,"193,076",14.88,5.12,
57,아모레G,"74,600",900,-1.19%,500,"61,514","82,458",17.90,"142,314",146.27,0.31,
58,현대건설,"54,800",100,+0.18%,"5,000","61,023","111,356",21.52,"879,657",49.55,1.84,
59,미래에셋증권,"9,500",20,-0.21%,"5,000","60,355","635,316",14.48,"2,856,153",7.57,8.94,
60,강원랜드,"27,700",450,-1.60%,500,"59,262","213,940",20.01,"949,815",-36.88,-7.92,
61,코웨이,"79,200",100,+0.13%,500,"58,449","73,800",58.87,"161,616",13.62,31.51,
62,한국금융지주,"104,000","3,000",-2.80%,"5,000","57,955","55,726",32.92,"678,158",4.65,16.27,
63,현대중공업지주,"69,900","1,100",-1.55%,"1,000","55,216","78,993",17.41,"470,306",-24.41,-8.12,
64,SKC,"145,500",500,+0.34%,"5,000","55,098","37,868",13.27,"405,618","-2,309.52",2.21,
65,LG이노텍,"227,500","2,500",+1.11%,"5,000","53,843","23,667",30.96,"238,700",13.23,10.20,
66,오리온,"119,500","1,500",+1.27%,500,"47,246","39,536",39.07,"104,126",17.76,15.50,
67,삼성엔지니어링,"24,100",800,+3.43%,"5,000","47,236","196,000",31.02,"4,761,246",16.69,16.75,
68,한미사이언스,"69,700","1,100",+1.60%,500,"46,911","67,305",1.66,"122,090",169.59,3.47,
69,맥쿼리인프라,"12,600",50,-0.40%,0,"46,896","372,192",14.92,"1,064,082",N/A,N/A,
70,두산밥캣,"46,650",600,-1.27%,500,"46,766","100,249",25.54,"471,179",14.20,6.15,
71,한진칼,"69,600","2,800",-3.87%,"2,500","46,211","66,395",15.35,"420,362",-56.68,-19.55,
72,이마트,"162,500","3,500",-2.11%,"5,000","45,298","27,876",31.93,"334,101",11.21,4.05,
73,유한양행,"64,000",900,+1.43%,"1,000","44,783","69,973",18.16,"284,993",46.68,11.06,
74,신풍제약,"81,900",0,0.00%,500,"43,395","52,985",9.51,"2,680,409",952.33,1.72,
75,GS,"46,350","1,200",-2.52%,"5,000","43,066","92,915",18.90,"412,903",6.80,-2.82,
76,쌍용C&E,"8,490",40,+0.47%,100,"42,778","503,860",3.44,"1,517,320",30.99,7.92,
77,삼성중공업,"6,770",130,-1.88%,"5,000","42,651","630,000",14.42,"6,614,890",-2.38,-33.06,
78,현대차2우B,"116,000",500,-0.43%,"5,000","42,323","36,485",61.64,"68,886",14.04,N/A,
79,롯데지주,"40,200",150,-0.37%,200,"42,174","104,909",8.73,"495,229",-98.77,-3.03,
